"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","2,897.04","2,921.00","2,933.97","2,897.04","879.72K","-0.92%"
"Dec 30, 2021","2,924.01","2,933.88","2,946.00","2,919.89","743.71K","-0.31%"
"Dec 29, 2021","2,933.10","2,932.89","2,948.34","2,912.95","886.41K","-0.02%"
"Dec 28, 2021","2,933.74","2,964.72","2,965.98","2,921.09","868.00K","-0.82%"
"Dec 27, 2021","2,958.13","2,945.12","2,966.88","2,943.39","787.41K","0.67%"
"Dec 23, 2021","2,938.33","2,930.00","2,964.87","2,929.04","1.32M","0.34%"
"Dec 22, 2021","2,928.30","2,861.35","2,930.00","2,861.35","1.23M","2.05%"
"Dec 21, 2021","2,869.45","2,841.07","2,877.38","2,810.05","1.32M","1.32%"
"Dec 20, 2021","2,832.14","2,800.00","2,835.49","2,786.42","1.34M","-0.08%"
"Dec 17, 2021","2,834.50","2,850.00","2,876.69","2,826.00","2.55M","-1.88%"
"Dec 16, 2021","2,888.90","2,943.41","2,953.53","2,872.14","1.64M","-1.36%"
"Dec 15, 2021","2,928.82","2,868.18","2,934.42","2,833.56","1.77M","1.76%"
"Dec 14, 2021","2,878.14","2,879.36","2,889.60","2,824.29","1.88M","-1.32%"
"Dec 13, 2021","2,916.53","2,955.63","2,959.40","2,910.35","1.10M","-1.47%"
"Dec 10, 2021","2,960.03","2,974.00","2,979.55","2,934.07","1.22M","0.25%"
"Dec 09, 2021","2,952.77","2,951.82","2,982.00","2,942.30","1.14M","-0.37%"
"Dec 08, 2021","2,963.73","2,951.93","2,967.86","2,928.12","1.20M","0.62%"
"Dec 07, 2021","2,945.39","2,911.93","2,950.62","2,904.55","1.59M","2.87%"
"Dec 06, 2021","2,863.10","2,860.81","2,877.05","2,803.00","1.48M","0.81%"
"Dec 03, 2021","2,840.03","2,873.62","2,888.00","2,806.02","2.06M","-0.67%"
"Dec 02, 2021","2,859.32","2,825.00","2,877.29","2,804.29","1.45M","1.36%"
"Dec 01, 2021","2,821.03","2,880.00","2,919.00","2,818.24","1.70M","-0.60%"
